[TRACE] 23:03:19:773 nivel4/(10013:10013): Personaje a mover &, posicionX 50 posicionY 3
[TRACE] 23:03:19:773 nivel4/(10013:10013): Movimiento personaje: x: 50, y: 3

[TRACE] 23:03:20:472 nivel4/(10013:10014): Deadlock check started.
[TRACE] 23:03:20:573 nivel4/(10013:10013): Personaje a mover #, posicionX 59 posicionY 1
[TRACE] 23:03:20:573 nivel4/(10013:10013): Movimiento personaje: x: 59, y: 1

[TRACE] 23:03:20:675 nivel4/(10013:10013): Personaje a mover #, posicionX 60 posicionY 1
[TRACE] 23:03:20:675 nivel4/(10013:10013): Movimiento personaje: x: 60, y: 1

[TRACE] 23:03:20:776 nivel4/(10013:10013): Personaje a mover #, posicionX 60 posicionY 2
[TRACE] 23:03:20:776 nivel4/(10013:10013): Movimiento personaje: x: 60, y: 2

[TRACE] 23:03:22:73 nivel4/(10013:10013): Personaje a mover &, posicionX 51 posicionY 3
[TRACE] 23:03:22:73 nivel4/(10013:10013): Movimiento personaje: x: 51, y: 3

[TRACE] 23:03:22:174 nivel4/(10013:10013): Personaje a mover &, posicionX 52 posicionY 3
[TRACE] 23:03:22:174 nivel4/(10013:10013): Movimiento personaje: x: 52, y: 3

[TRACE] 23:03:22:276 nivel4/(10013:10013): Personaje a mover &, posicionX 53 posicionY 3
[TRACE] 23:03:22:276 nivel4/(10013:10013): Movimiento personaje: x: 53, y: 3

[TRACE] 23:03:23:576 nivel4/(10013:10013): Personaje a mover #, posicionX 60 posicionY 3
[TRACE] 23:03:23:576 nivel4/(10013:10013): Movimiento personaje: x: 60, y: 3

[TRACE] 23:03:23:677 nivel4/(10013:10013): Personaje a mover #, posicionX 60 posicionY 4
[TRACE] 23:03:23:677 nivel4/(10013:10013): Movimiento personaje: x: 60, y: 4

[TRACE] 23:03:23:778 nivel4/(10013:10013): Personaje a mover #, posicionX 60 posicionY 5
[TRACE] 23:03:23:778 nivel4/(10013:10013): Movimiento personaje: x: 60, y: 5

[TRACE] 23:03:25:78 nivel4/(10013:10013): Personaje a mover &, posicionX 54 posicionY 3
[TRACE] 23:03:25:78 nivel4/(10013:10013): Movimiento personaje: x: 54, y: 3

[TRACE] 23:03:25:179 nivel4/(10013:10013): Personaje a mover &, posicionX 55 posicionY 3
[TRACE] 23:03:25:179 nivel4/(10013:10013): Movimiento personaje: x: 55, y: 3

[TRACE] 23:03:25:280 nivel4/(10013:10013): Personaje a mover &, posicionX 56 posicionY 3
[TRACE] 23:03:25:280 nivel4/(10013:10013): Movimiento personaje: x: 56, y: 3

[TRACE] 23:03:26:579 nivel4/(10013:10013): Personaje a mover #, posicionX 60 posicionY 6
[TRACE] 23:03:26:579 nivel4/(10013:10013): Movimiento personaje: x: 60, y: 6

[TRACE] 23:03:26:680 nivel4/(10013:10013): Personaje a mover #, posicionX 60 posicionY 7
[TRACE] 23:03:26:680 nivel4/(10013:10013): Movimiento personaje: x: 60, y: 7

[TRACE] 23:03:26:783 nivel4/(10013:10013): Personaje a mover #, posicionX 60 posicionY 8
[TRACE] 23:03:26:783 nivel4/(10013:10013): Movimiento personaje: x: 60, y: 8

[TRACE] 23:03:28:83 nivel4/(10013:10013): Personaje a mover &, posicionX 57 posicionY 3
[TRACE] 23:03:28:83 nivel4/(10013:10013): Movimiento personaje: x: 57, y: 3

[TRACE] 23:03:28:184 nivel4/(10013:10013): Personaje a mover &, posicionX 58 posicionY 3
[TRACE] 23:03:28:184 nivel4/(10013:10013): Movimiento personaje: x: 58, y: 3

[TRACE] 23:03:28:285 nivel4/(10013:10013): Personaje a mover &, posicionX 59 posicionY 3
[TRACE] 23:03:28:285 nivel4/(10013:10013): Movimiento personaje: x: 59, y: 3

[TRACE] 23:03:29:586 nivel4/(10013:10013): Personaje a mover #, posicionX 60 posicionY 9
[TRACE] 23:03:29:586 nivel4/(10013:10013): Movimiento personaje: x: 60, y: 9

